rank,rating,date,user,headline,body,helpful_count,images
11,5,2025.07.02,이*호,,,,
12,5,2025.06.30,김지연,,,,
13,5,2025.06.24,이*근,,,,
14,5,2025.06.24,따곰,,,,
15,5,2025.06.15,김*경,,,,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/15/6448006282394775908/57ec16ed-26c8-4bd2-91a1-d9deadfa1fb5.jpg
16,5,2025.06.21,은*선,,,,
17,5,2025.05.21,김*환,,,,
18,4,2025.05.21,redxiii,,,,
19,4,2025.05.07,김*,,,,
20,5,2025.04.27,양*정,,,,
21,3,2025.06.13,신*길,,,,
