rank,rating,date,user,headline,body,helpful_count,images
11,4,2024.05.19,권*호,서브폰용으로는 적당함,"서브폰 쓰려고 샀고 하루 사용해보고 느낀점 의식의 흐름대로 적음
지문인식 할 때 갤럭시는 살짝대도 바로 열리는데 이건 좀 길게 눌러야 지문인식되서 넘어감
폰 자체는 가볍고 그립감 좋음
액정 만질 때 느낌이 뭔가 뻑뻑함이 느껴짐
빠릿빠릿한 맛이 없음, 앱을 열거나 검색 가로전환 같은 것이 버벅거리는게 느껴짐
기본으로 깔린앱 같은거 쓰려고 하변 뭐 자꾸 동의하라하는데, 중국에 정보 팔리는거 같아 불안하기도 함
위에 적은거에 연속인데 기본앱 권한 동의할 때 선택동의 같은건 안할 수도 있게 해야는데 음악 앱이랑 몇몇앱은 선택권한 동의 안하는 법을 모르겟음
통화 같은건 잘됩
그래도 정발폰이라서 다 한글로 되어있어서 세팅하기 편함
카메라도 괜찮음 근데 내기준임... 막눈이라..
종합하면 그냥 서브폰으로 무난무난하게 쓰기 좋은폰 통화랑 유튜브 용으론 이것만해도 될거같음
아, 본폰은 갤럭시 s24 울트라임",2.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/19/2280230217290110655/a61e51c8-a472-4169-b0a3-3d8b49b782bf.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/19/2280230217290110655/d18ad6ca-164a-47a8-b878-b8c99db222b2.jpg"
12,5,2025.03.28,홍*람,세컨폰 보조폰으로 탁월하네요,"남편 업무용으로 세컨폰 구매하려하니
요즘 스마트폰들이 여간 비싼 게 아니더라구요ㅠㅠ
그래서 쿠팡에서 검색하며 찾아보니!
리뷰 좋은 샤오미 폰이 보여서 구매하게되었어요
아직까지 성능에 불편한 점 단 하나도 없었구요!
딱 하나 단점이 카메라 화질이 너무 높아서 업로드할때 좀 느리다는 점ㅠㅠ
사이트에 따라 올리지 못하기도 하더라구요
사진 색감은 굉장히 분위기 있게 나와요ㅎㅎ",52.0,
13,5,2025.01.16,팡팡208,후기 보고 아주 급하게 구매하게 됫습니다.,"갖고있던 ,z플립이 반쪽부터 터치가 갑자기 안되더니 스물스물 다른쪽까지 번져가며 먹통이 되는 바람에 일단 로켓으로 구매가능한 쿠팡에서 임시폰격으로 고르다가 후기가 너무 좋아서 get하게 됫습니다.
급하게 저렴하게 구한거 치고 완전 대만족합니다.
말그대로 가성비 좋고, 안드로이드 쓰던 사람한테는 무리가 없게 무난하게 연동해서 쓸수있게 쉽게 잘해놔서 하루만에 모든 정보 옮기고 통화개통 완료해버렸습니다.  전 참고로 컴치 컴맹 기계치....
암튼 추후 후기 더 올릴수도 있겠습니다만 일단 너무 만족합니다.
강추합니다.",30.0,
14,5,2025.01.06,김*진,메인폰 데이터가 적은 요금제 사용중이라 요금 저렴하고 데이터 많은 알뜰폰 사용하기 위해 구매했는데 저사양 게임 이랑 인타넷 검색 ott시청 잔화 카톡 정도 사용하기엔 딱 좋네요카페나 블로그 등등 여러후기 찾아보니 실사용은 힘들다고 레드미 노트 일반 제품은 사는거 아니라던데 구매해서 사용해보니 만족합니다.간혹 유튜브 & ott 보다보면 재생이 멈춰서 다시 눌러줘야 하는 현상있고 인터넷 브라우저 사용시 리프레쉬 자주 되던데 이런점만 빼면 일반적인 사용은 잘됩니다~소프트웨어 업데이트로 어느정도는 개선이 될거 같은데 업데이트로 해결 됬음 좋겠네요,"메인폰 데이터가 적은 요금제 사용중이라 요금 저렴하고 데이터 많은 알뜰폰 사용하기 위해 구매했는데 저사양 게임 이랑 인타넷 검색 ott시청 잔화 카톡 정도 사용하기엔 딱 좋네요
카페나 블로그 등등 여러후기 찾아보니 실사용은 힘들다고 레드미 노트 일반 제품은 사는거 아니라던데 구매해서 사용해보니 만족합니다.
간혹 유튜브 & ott 보다보면 재생이 멈춰서 다시 눌러줘야 하는 현상있고 인터넷 브라우저 사용시 리프레쉬 자주 되던데 이런점만 빼면 일반적인 사용은 잘됩니다~
소프트웨어 업데이트로 어느정도는 개선이 될거 같은데 업데이트로 해결 됬음 좋겠네요",,
15,5,2024.10.20,추추추천,역시 가성비갑이 샤오미입니다,"카메라해상도도 삼성보다 높고
가격은 24만원대로 메모리6기가에 128이면
게임인 롤도 잘돌아갑니다
사운드도 빵빵하구요",26.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202410/20/792191940578937159/856d7a5b-f370-479d-9f04-c64270b10058.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202410/20/792191940578937159/b00d26fe-f06c-4094-ae63-051951268f8e.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202410/20/792191940578937159/f0e02ed7-ca42-449b-8ff7-e1b6a465256a.jpg"
16,5,2024.04.27,이*호,서브폰으로는 적당합니다,"제가 업무상 개인전화와 문자 sns를 구분하기 위해서
원래폰에는 개인용,서브폰에는 업무용으로 사용했습니다
전화나 카톡 텔레그램 사용하는데 전혀 문제가 없습니다
제가 레드미로 영상을 보거나 하지않기 때문에 배터리도 3일 넘어가도 30%가 넘더라구요
화면 넘길때 120hz 치고는 느린편이지만 거슬릴 정도는 아닙니다
안드로이드 기반 os기 때문에 삼성폰 사용하기면 문제없이 사용가능합니다.
가격도 싸서 제 직장동료들도 몇분 샀어요
다른동료분들은 웹서핑이나 유튜브 그리고 게임용으로 샀는데
간단한 게임은 돌아가고 높은 사양의 게임은 버벅인다고 들었습니다. 유튜브용도로는 최고라고 들었습니다.",14.0,
17,5,2024.08.05,Baebaure,아이 핸드폰 액정이 나가서 급하게 구매했습니다,"저희 애 핸드폰 액정이 나가서 급하게 구매하게 됐는데 막상 줄려고 하니 소중한지 모르고 또 고장낼것 같아 주지 않고 있습니다 2주후쯤 줄 생각입니다
삼성 S21사용하고 있었는데 액정 수리비가 20만원 이상이고 액정외 다른 부분까지 수리하면 30만원이 넘는다고 인터넷에 나와있어 수리보단 새제품을 사는게 낫겠다 싶어 검색했는데 삼성A시리즈와 샤오미 폰 사이에서 고민 했습니다
가격대비 가성비는 샤오미가 나아서 구매하게 되었습니다",14.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/5/8882416884519817099/92c07743-89ce-4a15-917a-28585bc77901.jpg
18,5,2024.11.25,silverline,"샤오미 레드미 노트 13 공기계, 미드나잇블랙, 264","샤오미 레드미 노트 13 공기계, 미드나잇블랙, 264GB
영상 많이보고 게임많이하는 초등학생 키즈폰으로 구매했어요
배터리 충전이 빨리되요(C타입)
화면도커서 영상보기 좋아요
디자인은 처음보고 놀랐어요 카메라 엄청큰 갤럭시
싼티전혀없고 카메라 화질도 충분합니다!
케이스는 같이 포장되서 오고 필름은 부탁되어왔어요!
가벼운편이고 이가격이면 키즈폰,업무폰으로 사용하기 너무좋겠어요!",29.0,
19,5,2024.10.07,채*미,샤오미짱,"물론 메인폰을 z플립이구요
서브폰으로 쓰던 s20플러스가
박살나서 수리비용과 샤오미폰가격이
같아 도전의식을 가지고 삼
며칠전 형부환갑때 사용했는데
사진 잘 나온다고 난리난리
자판이 불편했는데 딸램이 갤럭시자판
깔아줘서 쓰니 비싼 갤럭시 하나도
안 부러움
배터리충전 한 30분이면 완충
가벼워서 넘 조음
폰케이스는 중국사이트 이용하면
천원 이천원 내에서 구매가능합니다
서브폰으로 쓰다고장나믄
다음에는 프로 플러스 사볼려구요
이제 무조건 서브폰은 샤오미로",,
20,5,2024.09.29,구*모,본인인증용 업무용... 등세컨폰으로 쓸 생각으로저렴하면 장땡이고 사실 기능 크게 필요없었는데그립감도 좋고색깔도 예쁘고가격도착하고.보호필름도 붙어있고가볍고..반응속도도 좋고....케이스가 들어있는건 너무 좋은데...차라리.. 투명 젤리케이스를 넣어주시지..싶을 정도의... 검정색 고무(?) 케이스...((이것도 렌덤이면 ... 뽑기 잘 못 한 탓..))그래도!!!보급형 핸드폰보다 저는 만족입니당아! 이름이 노트인데..펜은 안주는가?  라는욕심을 잠시 부려봤습미다...ㅋ,"본인인증용 업무용... 등
세컨폰으로 쓸 생각으로
저렴하면 장땡이고 사실 기능 크게 필요없었는데
그립감도 좋고
색깔도 예쁘고
가격도착하고.
보호필름도 붙어있고
가볍고..
반응속도도 좋고
....
케이스가 들어있는건 너무 좋은데...
차라리.. 투명 젤리케이스를 넣어주시지..
싶을 정도의... 검정색 고무(?) 케이스...
((이것도 렌덤이면 ... 뽑기 잘 못 한 탓..))
그래도!!!
보급형 핸드폰보다 저는 만족입니당
아! 이름이 노트인데..
펜은 안주는가?  라는
욕심을 잠시 부려봤습미다...ㅋ",13.0,
21,2,2024.12.02,임*빈,싼맛에 사는 제품,"화질이 싼티가 많이나고 셔터스피드가 느립니다
배터리용량 커서 기대했는데 아무것도 안해도 빨리줄어듭니다.
충전속도도 느리구요.고속충전된다기에 기대했는데 충전기가빠르다고 빨리충전되는건 아닌가봐요.
아이가 갤럭시s9 쓰는데 그거보다 못합니다.
그냥 쎄컨폰으로 막쓰려면 괜찮을것 같아요",2.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202412/2/3751652429174188424/65e6d597-455c-4e1a-9503-420817fbffb1.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202412/2/3751652429174188424/5de4cdcf-3410-47a0-b199-605dfd6bdafd.jpg"
22,5,2025.02.02,박*근,굿,"가성비란말이 이폰에 딱
이것저것 따지면부족한것이 있겠지만
대만족입니다",52.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/2/5964936580988759978/8f694378-d364-426d-836e-0739f9d0e1a7.jpg
23,5,2025.02.03,김*재,최고,"굿굿굿
대학생 서브폰으로 최고입니다.
컬러도 너무 예뻐요 ❤️
잘 꾸미면 꽤 이뻐요",30.0,
24,5,2024.09.12,신*규,방금막받은후기,"일단 무게는적당합니다 성능은밸런스가잘잡혀잇음 저장공간이 부족하신분들은 Sd카드추가하시면됩니다
일단 유심 뭔지궁금하신분들잇을거같은데 나노유심 입니다
SD추가해서 용량늘릴수도잇어요 ! 참고",,
25,2,2024.04.08,남*원,우와,목요일 도착해서 사용시작. 월요일 고장... 전화 수신안됨. 실화냐...? // 공장초기화 후 정상작동함. 안에서 충돌난듯..? // 공초후에 정상 작동되나 했지만 콜드랍 현상이 지속적으로 발생 하였습니다. 전화 통화가 안돼요. 결국 환불엔딩으로 끝났습니다.,26.0,
26,5,2024.06.05,정*호,가성비는 여전히 최고인것 같아요,"2016년부터 샤오미폰 쓰고 있는데 좋아요.
스테레오 스피커 소리도 예쁘네요.(아래쪽 소리가 약근 더 강하긴 하지만...)",14.0,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/5/4870486656820477663/3262ceb3-50c4-4811-b4f1-a889eaf72001.jpeg
27,5,2024.06.15,유니레인,생각보다 괜찮은 휴대폰,"생각보다 여러모로 괜찮은 휴대폰이다
개인적으로 크게 느껴진 단점은 카메라 실행 시 1~2초 정도의 느린 반응속도",14.0,
28,5,2024.04.16,이*종,유튜브용 세컨폰으로 샀는데 성능이 생각보다 괜찮네요카메라 깜놀 헸음 ㅎㅎ,"유튜브용 세컨폰으로 샀는데 성능이 생각보다 괜찮네요
카메라 깜놀 헸음 ㅎㅎ",29.0,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/16/2296945888341635542/c58ab894-a63f-466c-8fc2-40536f7bec2b.jpg
29,5,2024.06.22,배*규,A15 사려다가 홍미 샀어요!,"디자인 실물 영접하니 훨씬 더 예쁘네요.
후회 1도 없는 선택이었습니다❤️❤️",,
30,1,2025.03.27,장*형,중고 기기임,"중고기기예요.
휴대폰 켜보면 다른 사람이 썼던기록들 남아있습니다.
휴대폰사용에 큰 지장은 없지만 어차피 중고라면 여기서 구매안하는거 추천드립니다.
이 시리즈 출시가가 8램+256기가가 35만원이고
12램 + 512기가가 40만원 돈입니다.
중고인데 가격차이 이거밖에 안나는게 말이 안됩니다.
당장 다른 중고거래 사이트만 봐도 해당기종 15만원-20만원에 삽니다.",13.0,
31,4,2024.04.27,이*주,가성비 굿,갤럭시 A시리즈 보다 더 나은것 같습니다. 삼성 분발하세요ㅠ.ㅠ,2.0,
32,5,2024.04.02,박*옥,빠른배송 감사합니다.사용하기도 좋은것같아요,"빠른배송 감사합니다.
사용하기도 좋은것같아요",52.0,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/2/5670276503004823533/be223e35-7cce-49c0-8c58-0ccaa0e23132.jpg
33,1,2025.04.02,김*정,반품해주세요. 결국 불량품을 샀다는 것을 확인했습니다.,"유심칩을 새 갸오미 폰에 옮기자, 모든 기능이 다 되는데, 통화 상대방이 제 목소리가 전혀들리지 않는다해서, 전화 수통 돌려 결국 샤오미 AS 센터까지 왔더니, 고장폰이라 하네요.
사진 첨부합니다.
빠른 반품 바랍니다.",30.0,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/2/4700298006197823208/e8888947-428e-471a-9e69-9b8c9545eec5.jpg
34,5,2024.03.30,박*호,아이들 한데 좋은 제품같아요. 우리아이의 첫 휴대폰!,,,
35,5,2025.02.12,원표아빠,가성비 세컨폰으로 잘쓰고 있습니다.,,,
36,1,2024.11.29,박*준,화면이 잠기질 않음,,,
37,5,2024.08.16,PIA* *****,마음에 들고  만족합니다,마음에 들고  만족합니다,14.0,
38,5,2024.08.01,장*호,아주 좋아요,,,
39,3,2024.07.17,기*호,항시 잘 이용 하고 있습니다.,항시 잘 이용 하고 있습니다.,,
40,5,2024.12.21,ZHA* *******,5g아닌 lte,,,
41,5,2024.04.21,정*준,알뜰폰의 경우 IMEI 지정 과정 필요,,,
42,5,2025.02.16,,땡큐 USA CIA 쿠팡,땡큐 USA CIA 쿠팡,52.0,
43,5,2024.04.01,조*완,물건은 둘째치고 배송이 하루만에 왔네요. 진짜 일잘하심,,,
44,3,2025.05.01,이*길,상당히 좋지만,중국폰이라는 불안감으로 메인으로는 못쓰겠음,,
45,4,2025.01.28,김*철,그냥 가성비만 좋은폰,"자, 이 설날에도 리뷰적는 13살 아들 등판했습니다.
이번에 리뷰할 것은 Redmi note 13입니다.
(하루 사용기 리뷰 있어요!)
Redmi note 13
제조사: 샤오미
구성품:  휴대폰, 보호필름, 케이스, 충전기, c타입 충전 케이블
카메라: 1억화소
사람들이 생각하는 샤오미
일단...샤오미는 보조배터리가 최고죠?
근데 요즘 쭝꿔의 제품말고 재용이형 제품 쓰잖아요.
왠지 샤오미 하면 기분이 약간 이상하고...그렇죠?
하지만 이판을 뒤집을 제품이 나왔으니...
Redmi note 13
이제 본격적으로 리뷰해보죠.
os
os는 스마트폰에 깔린 윈도우나 Mac 처럼 생각하시면 됩니다.
그럼 이놈의 os는 뭘까요?
바로 mi ul 14입니다.ㅋㅋ
이름만으로도 정신이 어질어질하죠??
자, 이제 핸폰을 키면요... 삼성과 애플에 궁잡과 안드로이드를 그냥 쑤셔 넣어버린 os에요. 그리고 약간의 쭝꿔의 os디자인이 보입니다.
솔직히 삼성보다 os가 쓰레기라는 인정합니다.
홈화면도 한번 설정하면 다시는 보이지 않구요.
무엇보다 중요한건 설정하다가 특정설정으로 넘어가면 광고가 나와요.
겁나 킹받아요.
참고화면 나중에 넣어드려요
카메라
카메라는 생각보다 나쁘지 않았어요.
화질도 좋고 1억화소이기 때문에 다른 폰과 차이가 나진 않아요.
(하지만 아이폰은 이기지 못하는건 사실이죠.)
이것도 언젠간 자료화면 넣어드릴게요.
앱
그래요. 아무리 os가 판 같아도 샤오미에서 지원하는 앱이 뭐가 있을까요?
일단 먼저 게임센터가 있는뎁쇼.
이야...무슨 게임에 지오메트리대시 짝퉁게임이 있어요. ㅋㅋㄱ
뭐, 이건 그래도 멋있게 만들었어요. 요정도는 봐줄만 하다구요. ㅇㅋ?
근데 구글스토어에 있는 게임을 그대로 가져와서 쓴 게임과 따라만든 게임이 대부분이니... 솔직히 지오메트리대시 빼고 다 재미없어요.
하긴...자동으로 테무를 깔아버리는데 믿을만 하겠어요?
(갑자기 스위치를 8원에 사고싶자나?)
그리고 여러앱이 있는데...여러분. 만약에 서브폰이 이거다? 설정이랑 보안관련 되어있는거 빼고 싹 다 지워버리세요. 특히 테마. 절대 들어가지 말고 그냥 지워버리세요.
그리고 mi 브라우저..이것저것 있는데 삼성앱으로 최대한 갈아타십쇼.
슈레기입니다.
이것도 언젠간 자료화면 넣어드릴게요.
성능
성능은 아주 좋아요
저는 RAM 8GB랑 스토리지 256GB 쓰니깐 그냥 성능은 S시리즈 뛰어 넘더라고요.
(애플씨 스토리지 후하게 ㅇㅋ?)
120프레임도 지원되고 Always On Display도 지원되더라고요?
거기다 지문인식이랑 얼굴인식...생각해보니 이놈들 쭝궈스러운 효과음이랑 앱만 잘되면 성공했다니깐요?
설정은 잘 해놨으면서 왜저래...
이것도 언젠간 자료화면 넣어드릴게요.
결론
저는 샤오미가 os 업데이트를 글로벌스럽게 하면 낮다고 생각해요.
애플이 왜 인기가 많겠습니까?
물론 다른이유로 사는 사람도 있겠지만 디자인이 예쁘고 고급스러운 애니메이션이 한국인의 눈길을 끄는 그 이유에요.
샤오미는 효과음, 테마, 등등만 고치면 완벽해요
애플은 물방울로 디자인하고 삼성은 보석으로 하는데 샤오미는 중국에서 사는 고양이 사진을 잠금화면으로 내놓는다? 말이 안돼잖아요.
그리고 돈 조금벌려고 광고 넣는것도 그렇고
예전에 삼성에서 이런짓해서 욕먹었잖아요.
제발...정신 차립시다. 이러면 가성비라도 사람들 안사요...
그리고 너무 자기나라 스타일대로 하지말고 한국사람 눈길을 끄게 만들어 봅시다.
그리고 앞면 카메라 가리지말라는 것도 이상해..
오늘의 총정리!
나는 키즈폰, 서브폰이 필요하다: 추천
(서브폰은 괜찮은데 키즈폰은 별로...)
나는 금융앱이나 금융권에서 일한다:비추
(앞면 카메라 가리지 말라는 것도 그렇고 보안도 별로니 다른폰 찾아보세요)
나는 가성비좋은 핸드폰을 쓰고 싶다:비추
(이거 말고 13만원짜리 있으니 알아보고 별로면 삼성폰이 맞습니다)
나는 게임빼고 유튭보고 카톡만 한다: 강추
(아주 좋음)
나는 중국산 핸드폰이 아닌 가성비좋은 폰을 찾고있다: 보통
(삼성보다 더싼건 샤오미라..그럼 애플 se시리즈도 좋으니 한번 보세욥!)
하루 사용기
일단 써보니 나쁘진 않았어요
제가 리뷰를 적고 샤오미앱을 지울 수 있는 만큼만 해도 엄청 쓸만해 지더라고요.
네. 써보니 좋았습니다.
이건 저 말고도 여러분들이 서브폰용도로 써도 좋을 것 같더라고요.
그리고 이폰이 가성비에 있다는 점에서는 최고인 것 같습니다.
결론: 가성비도 좋기는 하지만 어떨땐 마음에 듬",26.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/30/4853394277149828333/2dfe9172-2110-4f8a-8f95-a0c89b1664dd.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/30/4853394277149828333/243c5007-7b0a-4bbc-b7ff-bca71e53d1d0.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/30/4853394277149828333/40b16731-8977-4467-8b4d-f2b3ebbb942e.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/30/4853394277149828333/0abbef43-d610-48d4-89c5-4af01006a97d.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/30/4853394277149828333/9fc9eeb3-5463-427f-ae9a-06cb4226a8bf.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/30/4853394277149828333/2c4ea297-1c78-4990-a02b-0eb62489f205.jpg"
46,5,2025.07.02,이*현,,,,
47,5,2025.07.02,JIN ****,,,,
48,5,2025.06.20,박*나,,,,
49,5,2025.05.28,LIX*****,,,,
50,5,2025.05.27,갠하늘,,,,
51,5,2025.04.05,이*식,,,,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/5/6075190184984208051/68797053-fc65-4719-9c27-12cad104a295.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/5/6075190184984208051/01e0a1fa-3ed8-417f-be6b-6128a4695161.jpg"
52,5,2025.04.23,정*찬,,,,
53,5,2025.04.22,BokHyeon,,,,
54,5,2025.04.19,chu*******,,,,
55,5,2025.04.16,J**,,,,
56,5,2025.04.14,이*현,,,,
57,5,2025.04.07,KHV** *****,,,,
58,4,2025.04.07,이*선,,,,
59,5,2025.04.07,양*석,,,,
60,5,2025.03.29,김*현,,,,
61,5,2025.03.20,Cas*** **** *******,,,,
62,5,2025.03.16,박*정,,,,
63,5,2025.03.06,KO **** *************,,,,
64,5,2025.03.03,행운한구름,,,,
65,5,2025.02.27,최*석,,,,
66,5,2025.02.26,정*빈,,,,
67,5,2025.02.24,KIM ********,,,,
68,5,2025.02.22,유*,,,,
69,3,2025.06.27,김*원,,,,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/27/212911100459905719/3790a5f2-b21c-4dcc-94d0-afa81b616b33.jpg
70,5,2024.09.06,홍*권,,,,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/6/8408021714548194390/c7ba76c3-a6d5-49ff-a448-9313e22a5f9f.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/6/8408021714548194390/0ca99a16-82bb-457e-965d-43816c78e44d.jpg"
71,5,2025.02.15,김*경,,,,
72,4,2025.02.08,홍*진,,,,
73,5,2025.02.06,이*관,,,,
74,5,2025.02.06,이*관,,,,
75,4,2025.02.03,JIN********,,,,
76,5,2025.02.02,김*희,,,,
77,5,2025.01.22,박*길,,,,
78,4,2025.01.20,최*훈,,,,
79,4,2025.01.19,윤*원,,,,
80,5,2025.01.13,JUR**** ****** ******,,,,
81,5,2025.01.04,손*은,,,,
82,5,2025.01.04,길*숙,,,,
83,5,2025.01.02,강*민,,,,
84,5,2024.11.24,쿠팡실구매자,,,,
85,5,2024.12.31,chejen sergey erikovich,,,,
86,5,2024.12.31,TAI******,,,,
87,5,2024.12.24,고*진,,,,
88,4,2024.12.22,김*희,,,,
89,5,2024.12.15,전*종,,,,
90,5,2024.12.13,홍*혜,,,,
91,5,2024.12.12,정*훈,,,,
92,4,2024.12.02,김*아,,,,
93,5,2024.12.01,홍*각,,,,
94,5,2024.11.28,이*환,,,,
95,5,2024.11.28,이*셉,,,,
96,5,2024.11.24,정*훈,,,,
97,5,2024.11.24,김*정,,,,
98,5,2024.11.22,최*원,,,,
99,5,2024.11.21,Cooler8,,,,
100,5,2024.11.15,진*일,,,,
101,5,2024.11.13,조*원,,,,
102,5,2024.11.12,박*람,,,,
103,3,2025.04.09,장*호,,,,
104,3,2025.04.09,장*호,,,,
105,5,2024.11.10,Har******** ****,,,,
106,5,2024.11.07,송*철,,,,
107,5,2024.11.01,정*승,,,,
108,5,2024.10.28,무민무민무,,,,
109,4,2024.10.13,이*수,,,,
110,5,2024.10.12,이*구,,,,
111,5,2024.10.10,DIO***** *** *****,,,,
112,5,2024.10.10,CUI*******,,,,
113,5,2024.10.07,김*원,,,,
114,5,2024.10.06,최*철,,,,
115,5,2024.10.03,한*균,,,,
116,4,2024.10.02,류*훈,,,,
117,5,2024.09.30,KAN ********,,,,
118,5,2024.09.30,강*호,,,,
119,5,2024.09.28,박*현,,,,
120,5,2024.09.26,VC7620,,,,
121,4,2024.09.14,공*정,,,,
122,4,2024.09.14,김*민,,,,
123,5,2024.09.10,김*석,,,,
124,5,2024.09.08,ChaosUser,,,,
125,5,2024.09.08,ChaosUser,,,,
126,5,2024.09.07,이*진,,,,
127,4,2024.09.05,김*숙,,,,
128,5,2024.09.03,홍*정,,,,
129,5,2024.09.02,김*준,,,,
130,3,2025.01.26,GAR**** *****,,,,
131,5,2024.08.31,이*영,,,,
132,5,2024.08.29,차*진,,,,
133,5,2024.08.28,고고고이,,,,
134,5,2024.08.26,천*수,,,,
135,5,2024.08.23,박*영,,,,
136,5,2024.08.21,윤*봉,,,,
137,5,2024.08.20,김*구,,,,
138,4,2024.08.18,KAR******** ***********,,,,
139,5,2024.08.18,변*균,,,,
140,5,2024.08.18,약속처럼,,,,
141,4,2024.08.10,김*호,,,,
142,5,2024.08.04,,,,,
143,5,2024.08.02,박*현,,,,
144,5,2024.08.02,김*천,,,,
145,5,2024.07.25,노*식,,,,
146,5,2024.07.24,이*영,,,,
147,5,2024.07.22,김*석,,,,
148,5,2024.07.18,RAT******* ************* ***** ******,,,,
149,5,2024.07.15,김*현,,,,
150,5,2024.07.11,문*우,,,,
151,5,2024.07.11,박승보,,,,
152,5,2024.07.09,KIM ****** **********,,,,
153,5,2024.07.02,이*규,,,,
154,5,2024.06.27,박천수,,,,
155,3,2024.06.20,최*동,,,,
156,5,2024.06.19,다둥이맘aa,,,,
157,5,2024.06.19,다둥이맘aa,,,,
158,5,2024.06.09,김*형,,,,
159,3,2024.06.09,쿠팡실구매자,,,,
160,5,2024.06.08,류*봉,,,,
161,4,2024.06.08,오*훈,,,,
162,5,2024.06.03,이*주,,,,
163,5,2024.05.31,이*일,,,,
164,5,2024.05.30,조*훈,,,,
165,5,2024.05.28,김*국,,,,
166,4,2024.05.28,김*표,,,,
167,2,2024.05.27,최*열,,,,
168,5,2024.05.21,반*민,,,,
169,5,2024.05.16,박*혜,,,,
170,5,2024.05.15,최*하,,,,
171,5,2024.05.14,LIX*****,,,,
172,3,2024.05.08,김*,,,,
173,3,2024.05.05,조*일,,,,
174,5,2024.05.02,김*훈,,,,
175,5,2024.05.01,쿠팡실구매자,,,,
176,5,2024.04.28,임*은,,,,
177,5,2024.04.26,Nil** **** *****,,,,
178,5,2024.04.25,기*율,,,,
179,5,2024.04.22,이*호,,,,
180,4,2024.04.22,쿠팡실구매자,,,,
181,5,2024.04.22,전*현,,,,
182,3,2024.04.21,임*정,,,,
183,5,2024.04.20,최*미,,,,
184,1,2024.04.19,장*남,,,,
185,5,2024.04.19,박*용,,,,
186,5,2024.04.18,김*형,,,,
187,5,2024.04.18,쿠팡실구매자,,,,
188,5,2024.04.17,정금주,,,,
189,5,2024.04.17,조*운,,,,
190,5,2024.04.14,손*국,,,,
191,5,2024.04.12,이*오,,,,
192,5,2024.04.11,OLG** *****,,,,
193,3,2024.09.03,KVO* *****,,,,
194,5,2024.04.07,주*운,,,,
195,5,2024.04.05,이*용,,,,
196,5,2024.03.26,WU ******,,,,
197,5,2024.03.25,백*휘,,,,
198,5,2024.03.24,이*현,,,,
199,2,2024.09.04,Nai********,,,,
200,1,2024.07.09,GUR*** ******,,,,
